,div yield,Trailing annual div yield,exDiv,payout ratio,5 year yield average,52W change,DGR,Years of grow,DGR3y,DGR5y,DGR10y
EPD,7.59,0.0,2023-01-30,75.2,7.54,24.99999791955865,6.123165419228712,25,3.2744530329995283,2.7042208053623717,3.8122807011261606
TDS,5.1999997,5.11811,2022-12-14,174.39,3.23,110.57205740125922,5.710178167854242,34,2.9428741193447068,3.0358857619294044,3.906206388686473
ENB,6.419999999999999,8.413402,2023-02-14,126.48001,6.51,34.03287610211041,10.221437081987364,0,6.180382217022097,9.851277515049762,10.176154744716591
UVV,5.7299999999999995,5.691499299999999,2023-04-06,109.5,5.58,44.991637439281654,4.974401893308869,37,1.0781515994293518,4.142560852678495,4.885382832339544
UHT,5.12,4.9260225,2022-12-15,36.42,4.16,44.656833806442634,2.205188625081769,35,1.449478342061461,1.4712247709537474,1.4469155216190166
WPC,5.07,5.0231453,2022-12-29,168.60999999999999,5.64,32.03483516195267,4.464977149776002,12,0.8146130903353329,1.1322691254729023,6.285252955165609
LEG,4.7,4.5215562,2022-12-14,64.91000700000001,3.95,38.50725784562458,9.820422715194745,35,3.2783666310812882,4.160447208695728,4.329888260930564
NNN,4.62,4.495798799999999,2023-01-30,122.29,4.64,28.655378034276723,2.3672298478327707,33,2.0527566904378514,2.4462555047262713,3.2419300111348215
O,4.3899998,4.3516062,2023-01-31,298.28000000000003,4.31,35.333334433065886,4.498758819713573,27,3.256751520586666,3.1621709022076105,3.5533518197916236
MMM,5.140000000000001,4.9546927,2022-11-17,58.550000000000004,3.44,43.00240107076234,9.025397073490137,25,1.1464270392841838,5.013262982018565,10.137068256385685
WBA,5.1599998000000005,5.0782286,2023-02-15,,3.73,57.67763554057365,12.187268688639664,37,2.1821220819424316,4.367644984956552,6.81504985527414
IBM,4.9099997,4.8317328,2022-11-09,337.95002,4.82,34.26251053998736,18.62899939933202,28,2.3526449998999754,3.170972377604362,7.776065310268687
FLIC,4.8499998,4.680365,2022-12-30,40.2,3.6,31.496055623876856,7.702714983596372,14,5.750193159365282,7.080587893662701,6.71209320297786
BEN,3.75,3.4594912,2022-12-29,59.69,3.87,73.97197925906913,54.587462476879885,3,3.673023863005168,62.70099290557191,38.76630561673827
