,Years up,Div yield,avg daily vol,Total Revenue Incr,Gross Margin,Gross Profit Incr,Trading years,Market cap,EPS,P/E,Mean change,Score,Sector
A,0.0,12.501060725124017,0.7076966233723853,18.56882723572015,46.73031589709505,15.41799460613055,40.32258064516129,81.59347004831122,0.3703376347887573,0.23873706656934207,81.14623554742639,46.19862498978837,Healthcare
AA,0.0,25.541581276739112,0.7134927047675881,36.95835382858142,15.729063252764883,77.70129318143411,100.0,11.396646936284323,-0.011593521603654023,-0.08145821890436507,83.51395631209544,50.97611657757004,Basic Materials
AADI,0.0,,0.002699107572115087,98.5464079415363,69.65659447099982,99.2676977065795,9.67741935483871,0.08999018198133854,-0.007369032909719818,-0.007363816759530186,-35.01562489776522,36.63728891300838,Healthcare
AAL,53.124999999999986,,2.1918557058051737,83.78270198502396,-5.183636063130117,99.95835425332189,30.64516129032258,19.534307574969485,0.21124270814919566,0.04492409343953435,-33.24999722256276,40.818409236937136,Industrials
AAOI,0.0,,0.1873900098195449,-3.84063374983942,14.997347812134185,-21.673144046420646,17.741935483870968,1.3485075317546826,-0.006670245306211906,-0.0789263354202744,98.37309473311244,18.509298396809,Technology
AAP,21.249999999999996,30.535657981227608,0.3450595015501223,10.163848271960214,39.71196382690347,10.604989813792765,37.096774193548384,8.355047788400405,0.3040480820222733,0.14662598900842827,-28.869330649348413,15.344240808024406,Consumer Cyclical
AAPL,53.124999999999986,8.896892923252405,40.45825077058475,27.873097786668804,37.33137049134038,41.6205990344091,70.96774193548387,100.0,0.5418066112780625,0.24455989403829614,93.42921679490333,72.43953356243266,Technology
ABAT,0.0,,0.007837751239533954,,,,12.903225806451612,0.28581645098629704,-0.0236634893006089,-0.003634191980102687,99.89980610674253,29.090828903061777,Basic Materials
ABBV,21.249999999999996,67.72482579963224,3.357920899777574,28.45879687780733,57.266938239513884,35.776783237130104,17.741935483870968,100.0,0.32260915679688873,0.34678419008723443,70.8401107764366,61.237134331379174,Healthcare
ABCL,0.0,,0.028032065181717584,74.37304980528933,66.63071915001132,73.34898827276852,6.451612903225806,3.275007619957957,-0.0013975752070158275,-0.11943398282814827,-44.4217596921743,26.32122241991903,Healthcare
ABEV,0.0,78.18663441929374,0.07336901746763377,37.93875340468054,45.38783955773367,26.572540620546263,43.548387096774185,90.52270095868717,0.01679335336750928,0.10709678466244228,-20.255544194414547,40.83014835700437,Consumer Defensive
ABM,0.0,47.04572540540223,0.07475004200104877,23.75378209318716,,,70.96774193548387,5.66911688833941,0.33498320664663245,0.0854764125368659,51.843456201405736,31.75112692425698,Industrials
ABNB,53.124999999999986,,1.9262508240745695,80.87954570672002,62.871603251567365,83.75027489368271,6.451612903225806,100.0,0.7265334983206645,0.13239092821615528,56.8390210453368,76.9182140098464,Consumer Cyclical
ABOS,0.0,,0.006284359068366997,,,,4.838709677419355,0.40135983259075225,-0.003525701090426293,-0.029071965264851892,-40.177332762269494,-10.015098919679817,Healthcare
ABR,0.0,90.48833524887995,0.19794141374157923,44.97827626822956,,,32.25806451612903,5.484660610528905,0.15644334452890224,0.05904899760407386,70.24899105927913,39.76054874628308,Real Estate
ABSI,0.0,,0.01796083952483364,21.57919390088611,,,4.838709677419355,0.7019600547061186,-0.003684516454859909,-0.03031653215619446,73.50264950694871,22.335188290010542,Healthcare
ABT,53.124999999999986,43.15467328495396,1.9932632172188671,28.236279103758378,49.421810060699514,27.33953349910452,70.96774193548387,100.0,0.2881385893583171,0.2618970834543083,67.43696351796406,66.2884292144782,Healthcare
ABUS,0.0,,0.005767983500356989,93.48462330388568,-46.36636520231601,-8.883188232601103e-15,27.419354838709676,0.8455943420679886,-0.0014611013527892742,-0.05103931982323744,-19.734785490828838,5.907048241564351,Healthcare
ABVC,21.249999999999996,,0.0318180585551589,85.0100427939985,66.9806380748872,66.4882499473201,32.25806451612903,0.02122325945229019,-0.011339417020560238,-0.0034981356336327,-45.195498479955354,32.45884485226295,Healthcare
