,Years up,Div yield,avg daily vol,Total Revenue Incr,Gross Margin,Gross Profit Incr,Trading years,Market cap,EPS,P/E,Mean change,Score
A,0.0,4.992614217785745,0.2830786493489541,9.283592357379629,23.246288716190122,10.790890396505578,16.129032258064516,57.11542903381785,0.2592363443521301,0.14324223994160523,56.66264994067748,28.39778637366089
AA,0.0,10.200675337149264,0.2853970819070352,18.4775423234231,7.8245211612558085,54.38230845237216,40.0,7.977652855399027,-0.008115465122557817,-0.04887493134261904,58.31597781153484,31.334457877234296
AADI,0.0,,0.0010796430288460349,49.26884546878496,34.65110977689954,69.47640553974632,3.8709677419354835,0.06299312738693698,-0.005158323036803873,-0.004418290055718112,-24.450648667202014,22.52053830804874
AAL,35.0,,0.8767422823220694,41.88764545843534,-2.578632269221801,69.95978870908293,12.258064516129032,13.67401530247864,0.14786989570443695,0.026954456063720614,-23.217749294721607,25.090626958690294
AAOI,0.0,,0.07495600392781795,-1.9201470117033326,7.460524726297986,-15.168802942738706,7.096774193548387,0.9439552722282779,-0.004669171714348334,-0.04735580125216464,68.69179072620874,11.377462033017398
AAP,14.0,12.195185955710754,0.13802380062004893,5.081474610180279,19.75496546267695,7.422319546745263,14.838709677419354,5.848533451880283,0.2128336574155913,0.08797559340505696,-20.158825182341825,9.431935964081232
AAPL,35.0,3.5531988108398442,16.1833003082339,13.935316124383018,18.57072437780601,29.12981447267031,28.387096774193548,70.0,0.37926462789464377,0.1467359364229777,65.23958837729687,44.52778409678431
ABAT,0.0,,0.0031351004958135816,,,,5.161290322580645,0.20007151569040793,-0.01656444251042623,-0.0021805151880616123,69.75786004588646,17.8818123873702
ABBV,14.0,27.047619047619047,1.3431683599110296,14.228139765703677,28.48779758175621,25.039789967101257,7.096774193548387,70.0,0.22582640975782214,0.20807051405234067,49.46610735057504,37.64179256984521
ABCL,0.0,,0.011212826072687034,37.18323553784849,33.145869121437464,51.33617654991909,2.5806451612903225,2.29250533397057,-0.0009783026449110793,-0.07166038969688895,-31.018747847094673,16.179365761203755
ABEV,0.0,31.225806451612904,0.02934760698705351,18.967698750445237,22.57846544171941,18.597838481471,17.419354838709676,63.36589067108101,0.011755347357256496,0.06425807079746537,-14.144005600546123,25.097842866608715
ABM,0.0,18.788898215093266,0.02990001680041951,11.875840466379405,,,28.387096774193548,3.9683818218375864,0.23448824465264273,0.05128584752211954,36.20115696849805,19.517068304897457
ABNB,35.0,,0.7705003296298278,40.43619571982744,31.275873342139064,58.61592639911776,2.5806451612903225,70.0,0.5085734488244652,0.07943455692969317,39.68945115858631,47.28077968073643
ABOS,0.0,,0.0025137436273467988,,,,1.9354838709677418,0.28095188281352657,-0.002467990763298405,-0.017443179158911137,-28.054956912055935,-6.156171091564174
ABR,0.0,36.138801261829656,0.0791765654966317,22.4871488388131,,,12.903225806451612,3.839262427370233,0.10951034117023158,0.035429398562444314,49.05334131921983,24.440371756649753
ABSI,0.0,,0.007184335809933456,10.788642547726841,,,1.9354838709677418,0.491372038294283,-0.0025791615184019363,-0.018189919293716675,51.325300189561744,13.729194447137964
ABT,35.0,17.23490831248821,0.7973052868875469,14.116890720176013,24.585189367811424,19.134648637321714,28.387096774193548,70.0,0.20169701255082195,0.15713825007258497,47.08976369763128,40.74676794589415
ABUS,0.0,,0.002307193400142796,46.73817702213158,-23.06523916052432,-6.217248937900877e-15,10.96774193548387,0.591916039447592,-0.001022770946952492,-0.030623591893942467,-13.780371133392162,3.6309975480857286
ABVC,14.0,,0.01272722342206356,42.50126158019975,33.31993848516349,46.5344187856777,12.903225806451612,0.014856281616603132,-0.007937591914392167,-0.00209888138017962,-31.559032800325046,19.95209472693417
ACAD,0.0,,0.065581458714742,8.559225086461314,34.798037429089206,14.459152740463418,12.903225806451612,6.705043238175532,-0.0020233077428842778,-0.17910755822038626,64.61856801599203,24.05554286599739
ACB,0.0,,0.0035083618714393475,-6.709974530084468,-0.77508540007027,-28.807315856084,6.451612903225806,0.2757044211585008,-0.013095914951196039,-0.0003928421758254829,-31.814317838995038,-10.404975711204244
ACCD,0.0,,0.019881992236987674,36.32623094288463,19.963245519454933,51.34224174959594,2.5806451612903225,1.364972171213904,-0.003601932465354429,-0.043440936607314656,-26.250855170385044,14.457511779189664
ACCO,35.0,30.148893360160965,0.0053670109843925225,9.783878293063468,12.79681563087578,10.584692486182245,12.258064516129032,0.8611769202956362,0.035884744564256665,0.04815998043833024,2.2304259823331547,18.056088718258298
ACDC,0.0,,0.007642041959716565,45.938944242807914,4.12151870389764,68.39863358199362,1.2903225806451613,1.8051022004370751,0.043309174474102874,0.04981391354136845,-32.18778565186433,15.163983184388522
ACET,14.0,,0.007951382942226115,39.824102156659926,,,3.8709677419354835,0.17905421237221733,-0.007448440591936627,-0.004294499263374085,-29.215791001412864,6.096710968647164
ACGL,52.5,,0.19062756487431837,8.216376785941266,,,18.70967741935484,44.91343611978809,0.4794944316775676,0.047815730717017155,61.29846860287347,39.65019077770778
ACHC,14.0,,0.06183948892324473,12.76023626621075,34.72112158227162,18.18978586767561,19.35483870967742,11.446456102245248,-0.000444683020414127,-2.476888237644865,61.58754925987061,28.75330412817106
ACHR,0.0,,0.03063623909828717,,,,2.5806451612903225,2.2633718667458083,-0.0038687422776029047,-0.01725975296619707,64.64287783692858,16.54676252590933
ACI,0.0,19.37829920381987,0.11715148358785901,7.830415144269693,12.361299238481092,10.83981479599007,2.5806451612903225,18.887675106608903,0.14539508573448823,0.042959896880504056,56.455517120527084,20.41891622812538
