,Years up,Div yield,Sector,avg daily vol,Total Revenue Incr,Gross Margin,Gross Profit Incr,Trading years,Market cap,EPS,P/E,Mean change
A,0,0.73,Healthcare,199302081.4759318,8.836011003118454,53.02886921100358,7.477475646295524,25.0,38026059776.0,4.19,30.97374701670644,17.34608393147605
AA,0,1.34000005,Basic Materials,200934378.4917959,16.662083031262988,18.948065691583206,51.18636103201194,62.0,5311326720.0,-3.65,-8.153424657534247,19.53173478224501
AADI,0,,Healthcare,760124.804166158,664.3714285714285,95.61317034700315,1288.1,6.0,41939288.0,-2.32,-0.7370689655172414,-14.61729515025998
AAL,2,,Industrials,617272133.3333333,68.12047972800222,-7.71183684187415,16634.99835983229,19.0,9103825920.0,2.39,5.8284518828451874,-12.593187301046601
AAOI,0,,Technology,52772922.423820496,-2.254374143713683,18.15324273243529,-18.108302503384284,11.0,628462400.0,-2.1,-7.8999999999999995,153.60360747901342
AAP,1,1.53,Consumer Cyclical,97175929.0927124,5.1239901538976955,44.547985371684014,5.3268791134092774,23.0,3893810944.0,3.44,19.023255813953487,-8.968620220952342
AAPL,2,0.49,Technology,11393884505.239258,12.750903935646459,41.86334187288657,18.801446412198,44.0,3007339560960.0,6.13,31.729200652528547,44.41613731265424
ABAT,0,,Basic Materials,2207273.688386281,,,,8.0,133202736.0,-7.45,-0.363758389261745,815.3221816822369
ABBV,1,3.7800000000000002,Healthcare,945660333.3333333,12.997302460695803,68.45543060196432,16.136932350375965,11.0,289936965632.0,3.65,44.99178082191781,11.734648663256056
ABCL,0,,Healthcare,7894412.314929962,45.15032105120053,87.5137252081109,43.55975551257063,4.0,1526294144.0,-0.44,-11.954545454545453,-45.752278396222586
ABEV,0,5.58,Consumer Defensive,20662240.590413414,17.101946561928926,51.32615106743535,12.204186765386794,27.0,42187464704.0,0.19,13.894736842105264,-4.773983326346405
ABM,0,2.1399999999999997,Industrials,21051165.809199013,11.023991542035255,,,44.0,2642051840.0,3.79,11.089709762532982,7.080326063723393
ABNB,2,,Consumer Cyclical,542472276.9671631,58.771422372902926,78.97600908947356,67.97657229481362,4.0,90492346368.0,8.22,17.17639902676399,7.998437130931722
ABOS,0,,Healthcare,1769806.1594518027,,,,3.0,187050912.0,-1.11,-2.9099099099099095,-24.503618111686365
ABR,0,12.68,Real Estate,55744417.12183634,20.43868185483064,,,20.0,2556087296.0,1.77,7.661016949152542,11.519775164520954
