Date,Open,High,Low,Close
1661972400000,0.00021790,0.00021860,0.00021650,0.00021660
1661973300000,0.00021660,0.00021730,0.00021570,0.00021710
1661974200000,0.00021680,0.00021680,0.00021560,0.00021650
1661975100000,0.00021730,0.00021730,0.00021530,0.00021530
1661976000000,0.00021520,0.00021640,0.00021520,0.00021620
1661976900000,0.00021650,0.00021650,0.00021650,0.00021650
1661977800000,0.00021560,0.00021620,0.00021560,0.00021610
1661978700000,0.00021620,0.00021620,0.00021530,0.00021530
1661979600000,0.00021500,0.00021650,0.00021460,0.00021560
1661980500000,0.00021650,0.00021650,0.00021650,0.00021650
1661981400000,0.00021650,0.00021650,0.00021560,0.00021560
1661982300000,0.00021520,0.00021520,0.00021470,0.00021470
1661983200000,0.00021550,0.00021690,0.00021370,0.00021690
1661984100000,0.00021690,0.00021690,0.00021580,0.00021670
1661985000000,0.00021670,0.00021710,0.00021670,0.00021710
1661985900000,0.00021700,0.00021730,0.00021640,0.00021730
1661986800000,0.00021730,0.00021730,0.00021660,0.00021660
1661987700000,0.00021740,0.00021780,0.00021740,0.00021780
1661988600000,0.00021780,0.00021780,0.00021540,0.00021560
1661989500000,0.00021650,0.00021650,0.00021570,0.00021570
1661990400000,0.00021710,0.00021790,0.00021710,0.00021790
1661991300000,0.00021820,0.00022010,0.00021810,0.00022010
1661992200000,0.00021920,0.00021920,0.00021830,0.00021830
1661993100000,0.00021750,0.00021750,0.00021740,0.00021740
1661994000000,0.00021740,0.00021740,0.00021710,0.00021710
1661994900000,0.00021700,0.00021700,0.00021650,0.00021650
1661995800000,0.00021740,0.00022760,0.00021740,0.00022750
1661996700000,0.00022740,0.00022960,0.00022020,0.00022020
1661997600000,0.00022170,0.00022280,0.00021960,0.00021970
1661998500000,0.00021970,0.00022090,0.00021820,0.00021880
1661999400000,0.00021920,0.00021980,0.00021830,0.00021970
1662000300000,0.00021950,0.00021950,0.00021950,0.00021950
1662001200000,0.00022000,0.00022120,0.00021780,0.00021780
1662002100000,0.00021780,0.00021780,0.00021750,0.00021780
1662003000000,0.00021740,0.00021790,0.00021640,0.00021640
1662003900000,0.00021730,0.00021880,0.00021730,0.00021880
1662004800000,0.00021920,0.00022330,0.00021920,0.00022200
1662005700000,0.00022190,0.00022650,0.00022190,0.00022650
1662006600000,0.00022690,0.00022690,0.00022320,0.00022490
1662007500000,0.00022370,0.00022390,0.00022130,0.00022370
1662008400000,0.00022290,0.00022430,0.00022290,0.00022320
1662009300000,0.00022300,0.00022420,0.00021900,0.00022010
1662010200000,0.00022070,0.00022070,0.00021930,0.00022010
1662011100000,0.00022000,0.00022020,0.00021930,0.00022010
1662012000000,0.00022080,0.00022100,0.00022010,0.00022010
1662012900000,0.00022010,0.00022010,0.00021870,0.00021870
1662013800000,0.00021880,0.00022080,0.00021880,0.00021880
1662014700000,0.00021880,0.00021880,0.00021790,0.00021790
1662015600000,0.00021800,0.00021840,0.00021760,0.00021760
1662016500000,0.00021750,0.00021750,0.00021520,0.00021520
1662017400000,0.00021650,0.00021710,0.00021470,0.00021500
1662018300000,0.00021400,0.00021500,0.00021290,0.00021410
1662019200000,0.00021400,0.00021550,0.00021400,0.00021500
1662020100000,0.00021560,0.00021650,0.00021560,0.00021650
1662021000000,0.00021590,0.00021590,0.00021470,0.00021470
1662021900000,0.00021470,0.00021560,0.00021470,0.00021560
1662022800000,0.00021510,0.00021510,0.00021470,0.00021470
1662023700000,0.00021500,0.00021520,0.00021370,0.00021370
1662024600000,0.00021280,0.00021280,0.00021270,0.00021280
1662025500000,0.00021280,0.00021380,0.00021190,0.00021300
1662026400000,0.00021230,0.00021230,0.00021230,0.00021230
1662027300000,0.00021230,0.00021230,0.00021230,0.00021230
1662028200000,0.00021360,0.00021370,0.00021320,0.00021330
1662029100000,0.00021310,0.00021330,0.00021310,0.00021330
1662030000000,0.00021330,0.00021460,0.00021330,0.00021430
