Date,Open,High,Low,Close
1661972400000,0.00002078,0.00002080,0.00002074,0.00002074
1661973300000,0.00002073,0.00002081,0.00002069,0.00002079
1661974200000,0.00002072,0.00002072,0.00002071,0.00002071
1661975100000,0.00002071,0.00002071,0.00002067,0.00002068
1661976000000,0.00002068,0.00002068,0.00002068,0.00002068
1661976900000,0.00002073,0.00002075,0.00002072,0.00002072
1661977800000,0.00002080,0.00002087,0.00002063,0.00002063
1661978700000,0.00002069,0.00002069,0.00002065,0.00002065
1661979600000,0.00002063,0.00002071,0.00002062,0.00002062
1661980500000,0.00002069,0.00002073,0.00002069,0.00002073
1661981400000,0.00002074,0.00002080,0.00002068,0.00002080
1661982300000,0.00002080,0.00002081,0.00002080,0.00002081
1661983200000,0.00002081,0.00002081,0.00002081,0.00002081
1661984100000,0.00002081,0.00002087,0.00002081,0.00002087
1661985000000,0.00002081,0.00002081,0.00002081,0.00002081
1661985900000,0.00002087,0.00002087,0.00002079,0.00002087
1661986800000,0.00002076,0.00002079,0.00002069,0.00002073
1661987700000,0.00002073,0.00002073,0.00002062,0.00002067
1661988600000,0.00002066,0.00002068,0.00002061,0.00002061
1661989500000,0.00002067,0.00002088,0.00002067,0.00002079
1661990400000,0.00002079,0.00002079,0.00002069,0.00002070
1661991300000,0.00002069,0.00002081,0.00002069,0.00002080
1661992200000,0.00002068,0.00002068,0.00002068,0.00002068
1661993100000,0.00002073,0.00002073,0.00002036,0.00002051
1661994000000,0.00002051,0.00002058,0.00002044,0.00002055
1661994900000,0.00002053,0.00002054,0.00002053,0.00002054
1661995800000,0.00002048,0.00002048,0.00002042,0.00002042
1661996700000,0.00002043,0.00002043,0.00002042,0.00002042
1661997600000,0.00002050,0.00002050,0.00002032,0.00002045
1661998500000,0.00002035,0.00002045,0.00002035,0.00002045
1661999400000,0.00002038,0.00002038,0.00002032,0.00002032
1662000300000,0.00002045,0.00002045,0.00002045,0.00002045
1662001200000,0.00002038,0.00002038,0.00002037,0.00002037
1662002100000,0.00002037,0.00002037,0.00002037,0.00002037
1662003000000,0.00002037,0.00002044,0.00002032,0.00002035
1662003900000,0.00002044,0.00002047,0.00002044,0.00002047
1662004800000,0.00002047,0.00002047,0.00002047,0.00002047
1662005700000,0.00002041,0.00002041,0.00002039,0.00002039
1662006600000,0.00002038,0.00002038,0.00002031,0.00002031
1662007500000,0.00002032,0.00002041,0.00002032,0.00002041
1662008400000,0.00002033,0.00002033,0.00002032,0.00002032
1662009300000,0.00002032,0.00002043,0.00002022,0.00002032
1662010200000,0.00002032,0.00002038,0.00002032,0.00002038
1662011100000,0.00002038,0.00002045,0.00002038,0.00002038
1662012000000,0.00002033,0.00002042,0.00002030,0.00002042
