Date,Open,High,Low,Close
1661972400000,0.00034660,0.00035240,0.00034430,0.00034490
1661973300000,0.00034530,0.00034580,0.00034470,0.00034550
1661974200000,0.00034590,0.00035070,0.00034590,0.00035060
1661975100000,0.00035090,0.00035540,0.00035040,0.00035510
1661976000000,0.00035440,0.00035580,0.00035120,0.00035140
1661976900000,0.00035180,0.00035370,0.00035180,0.00035260
1661977800000,0.00035410,0.00035510,0.00035390,0.00035390
1661978700000,0.00035570,0.00036070,0.00035570,0.00035950
1661979600000,0.00035990,0.00036140,0.00035890,0.00035890
1661980500000,0.00035960,0.00035960,0.00035820,0.00035900
1661981400000,0.00035900,0.00036180,0.00035900,0.00036180
1661982300000,0.00036180,0.00036300,0.00036060,0.00036200
1661983200000,0.00036280,0.00036880,0.00036250,0.00036460
1661984100000,0.00036470,0.00036470,0.00035930,0.00035930
1661985000000,0.00035930,0.00036010,0.00035750,0.00035770
1661985900000,0.00035770,0.00035870,0.00035770,0.00035790
1661986800000,0.00035840,0.00035840,0.00035630,0.00035630
1661987700000,0.00035570,0.00035570,0.00035490,0.00035490
1661988600000,0.00035480,0.00035570,0.00035480,0.00035560
1661989500000,0.00035490,0.00035490,0.00035360,0.00035440
1661990400000,0.00035380,0.00035700,0.00035370,0.00035570
1661991300000,0.00035430,0.00035430,0.00035280,0.00035300
1661992200000,0.00035250,0.00035300,0.00035040,0.00035120
1661993100000,0.00035050,0.00035240,0.00034990,0.00035190
1661994000000,0.00035080,0.00035220,0.00035080,0.00035170
1661994900000,0.00035120,0.00035260,0.00035120,0.00035260
1661995800000,0.00035310,0.00035360,0.00035230,0.00035360
1661996700000,0.00035250,0.00035280,0.00035220,0.00035270
1661997600000,0.00035220,0.00035290,0.00035180,0.00035290
1661998500000,0.00035290,0.00035320,0.00035290,0.00035320
1661999400000,0.00035360,0.00035410,0.00035290,0.00035340
1662000300000,0.00035340,0.00035340,0.00035330,0.00035330
1662001200000,0.00035380,0.00035500,0.00035380,0.00035450
1662002100000,0.00035340,0.00035340,0.00035170,0.00035170
1662003000000,0.00035230,0.00035240,0.00035230,0.00035240
1662003900000,0.00035400,0.00035790,0.00035400,0.00035790
1662004800000,0.00035790,0.00036050,0.00035670,0.00035780
1662005700000,0.00035800,0.00035920,0.00035780,0.00035890
1662006600000,0.00035860,0.00036020,0.00035830,0.00035860
1662007500000,0.00035810,0.00035980,0.00035800,0.00035980
1662008400000,0.00035980,0.00036530,0.00035970,0.00036370
1662009300000,0.00036280,0.00036350,0.00036190,0.00036220
1662010200000,0.00036300,0.00036300,0.00035740,0.00035950
1662011100000,0.00036070,0.00036210,0.00036060,0.00036060
1662012000000,0.00036120,0.00036390,0.00036050,0.00036390
1662012900000,0.00036400,0.00036620,0.00036350,0.00036510
1662013800000,0.00036430,0.00036610,0.00036430,0.00036490
1662014700000,0.00036430,0.00036900,0.00036350,0.00036900
1662015600000,0.00036740,0.00036880,0.00036680,0.00036870
1662016500000,0.00036870,0.00037230,0.00036860,0.00037120
1662017400000,0.00037120,0.00037240,0.00036930,0.00037210
1662018300000,0.00037250,0.00037550,0.00037250,0.00037470
1662019200000,0.00037500,0.00037500,0.00036980,0.00037120
1662020100000,0.00037150,0.00037470,0.00037060,0.00037310
1662021000000,0.00037310,0.00037720,0.00037310,0.00037640
1662021900000,0.00037610,0.00038100,0.00037570,0.00037570
1662022800000,0.00037600,0.00037960,0.00037390,0.00037820
1662023700000,0.00037840,0.00037870,0.00037620,0.00037830
1662024600000,0.00037830,0.00038720,0.00037830,0.00038130
1662025500000,0.00038120,0.00038680,0.00037960,0.00038500
1662026400000,0.00038300,0.00038880,0.00038280,0.00038800
1662027300000,0.00038820,0.00039680,0.00038160,0.00038240
1662028200000,0.00038180,0.00038340,0.00037820,0.00038060
1662029100000,0.00038100,0.00038190,0.00037810,0.00037910
1662030000000,0.00037910,0.00038080,0.00037750,0.00037890
1662030900000,0.00037870,0.00038150,0.00037870,0.00038120
1662031800000,0.00038060,0.00038330,0.00037980,0.00038210
1662032700000,0.00038280,0.00038660,0.00038160,0.00038200
1662033600000,0.00038180,0.00038790,0.00038180,0.00038650
1662034500000,0.00038630,0.00039210,0.00038560,0.00039050
1662035400000,0.00038910,0.00039000,0.00038550,0.00038970
1662036300000,0.00038940,0.00039000,0.00038650,0.00038830
1662037200000,0.00038780,0.00039050,0.00038630,0.00038740
1662038100000,0.00038770,0.00038770,0.00038490,0.00038570
