Date,Open,High,Low,Close
1661972400000,0.00031900,0.00032100,0.00031840,0.00031940
1661973300000,0.00031840,0.00031960,0.00031730,0.00031810
1661974200000,0.00031620,0.00031620,0.00031610,0.00031610
1661975100000,0.00031620,0.00031880,0.00031560,0.00031730
1661976000000,0.00031730,0.00031930,0.00031730,0.00031730
1661976900000,0.00031840,0.00032010,0.00031840,0.00032010
1661977800000,0.00032010,0.00032010,0.00032010,0.00032010
1661978700000,0.00031970,0.00031970,0.00031840,0.00031840
1661979600000,0.00032050,0.00032050,0.00031940,0.00031940
1661980500000,0.00031840,0.00031900,0.00031770,0.00031770
1661981400000,0.00031730,0.00031760,0.00031520,0.00031710
1661982300000,0.00031760,0.00031760,0.00031370,0.00031510
1661983200000,0.00031620,0.00032530,0.00031620,0.00032370
1661984100000,0.00032480,0.00032710,0.00032380,0.00032380
1661985000000,0.00032310,0.00032310,0.00031900,0.00032140
1661985900000,0.00032050,0.00032150,0.00031890,0.00032150
1661986800000,0.00031990,0.00032140,0.00031920,0.00031970
1661987700000,0.00032000,0.00032150,0.00031900,0.00031900
1661988600000,0.00031940,0.00032200,0.00031730,0.00031740
1661989500000,0.00031730,0.00031840,0.00031690,0.00031840
1661990400000,0.00031940,0.00032760,0.00031940,0.00032590
1661991300000,0.00032550,0.00032550,0.00032160,0.00032360
1661992200000,0.00032160,0.00032160,0.00032020,0.00032070
1661993100000,0.00032120,0.00032120,0.00031990,0.00032000
1661994000000,0.00032000,0.00032000,0.00031790,0.00031900
1661994900000,0.00031950,0.00032320,0.00031790,0.00032320
1661995800000,0.00032320,0.00032520,0.00032320,0.00032460
1661996700000,0.00032480,0.00033160,0.00032480,0.00033020
1661997600000,0.00032840,0.00032840,0.00032320,0.00032380
1661998500000,0.00032300,0.00032810,0.00032230,0.00032480
1661999400000,0.00032490,0.00032990,0.00032490,0.00032780
1662000300000,0.00032650,0.00032650,0.00032320,0.00032320
1662001200000,0.00032320,0.00032330,0.00031960,0.00031960
1662002100000,0.00032070,0.00032200,0.00031990,0.00032050
1662003000000,0.00032060,0.00032060,0.00031890,0.00032000
1662003900000,0.00032020,0.00032630,0.00032020,0.00032590
1662004800000,0.00032590,0.00033270,0.00032550,0.00033270
1662005700000,0.00033270,0.00034750,0.00033140,0.00034430
1662006600000,0.00034430,0.00035080,0.00034000,0.00034110
1662007500000,0.00034010,0.00034970,0.00034000,0.00034540
1662008400000,0.00034630,0.00034860,0.00033890,0.00034210
1662009300000,0.00034280,0.00034310,0.00033110,0.00033420
1662010200000,0.00033350,0.00033600,0.00032920,0.00033130
1662011100000,0.00033090,0.00033460,0.00033040,0.00033460
1662012000000,0.00033350,0.00033460,0.00032920,0.00033130
1662012900000,0.00033050,0.00033410,0.00032880,0.00033110
1662013800000,0.00033040,0.00033130,0.00032920,0.00033030
1662014700000,0.00033010,0.00033010,0.00032660,0.00032920
1662015600000,0.00032810,0.00032920,0.00032630,0.00032840
1662016500000,0.00032810,0.00032810,0.00032700,0.00032700
1662017400000,0.00032630,0.00032810,0.00032630,0.00032630
1662018300000,0.00032630,0.00032630,0.00032620,0.00032630
1662019200000,0.00032590,0.00032600,0.00032290,0.00032580
1662020100000,0.00032580,0.00032620,0.00032480,0.00032620
1662021000000,0.00032480,0.00032480,0.00032290,0.00032290
1662021900000,0.00032470,0.00032490,0.00032090,0.00032190
1662022800000,0.00032100,0.00032220,0.00032100,0.00032220
1662023700000,0.00032220,0.00032280,0.00032080,0.00032240
1662024600000,0.00032050,0.00032270,0.00032020,0.00032240
1662025500000,0.00032050,0.00032160,0.00031910,0.00031970
1662026400000,0.00031950,0.00032130,0.00031950,0.00032130
1662027300000,0.00032130,0.00032330,0.00032130,0.00032260
1662028200000,0.00032260,0.00032290,0.00032260,0.00032290
1662029100000,0.00032380,0.00032380,0.00032270,0.00032270
1662030000000,0.00032170,0.00032480,0.00032170,0.00032470
1662030900000,0.00032470,0.00033990,0.00032470,0.00033130
1662031800000,0.00033210,0.00033210,0.00032910,0.00033000
1662032700000,0.00032870,0.00032920,0.00032500,0.00032510
1662033600000,0.00032490,0.00032670,0.00032410,0.00032670
1662034500000,0.00032700,0.00033000,0.00032700,0.00033000
1662035400000,0.00033000,0.00033330,0.00033000,0.00033130
1662036300000,0.00033030,0.00033140,0.00032770,0.00032850
1662037200000,0.00032850,0.00032920,0.00032660,0.00032920
1662038100000,0.00032880,0.00033030,0.00032880,0.00032990
1662039000000,0.00033020,0.00033020,0.00032860,0.00032860
