Date,Open,High,Low,Close
1661962500000,0.01400800,0.01401100,0.01399400,0.01400300
1661963400000,0.01400300,0.01401400,0.01398600,0.01401300
1661964300000,0.01401200,0.01404000,0.01400200,0.01403900
1661965200000,0.01403900,0.01403900,0.01399700,0.01400700
1661966100000,0.01400700,0.01402200,0.01400700,0.01402200
1661967000000,0.01402200,0.01402500,0.01395700,0.01401200
1661967900000,0.01401300,0.01402000,0.01399800,0.01401500
1661968800000,0.01401400,0.01401700,0.01401000,0.01401500
1661969700000,0.01401500,0.01402000,0.01400700,0.01400700
1661970600000,0.01400700,0.01400700,0.01398900,0.01399300
1661971500000,0.01399300,0.01399700,0.01398500,0.01398800
1661972400000,0.01398800,0.01399300,0.01395200,0.01396300
1661973300000,0.01396200,0.01403200,0.01394600,0.01400200
1661974200000,0.01400300,0.01400500,0.01397000,0.01397200
1661975100000,0.01397300,0.01397600,0.01394500,0.01395400
1661976000000,0.01395500,0.01396500,0.01395000,0.01396200
1661976900000,0.01396200,0.01397000,0.01395000,0.01396500
1661977800000,0.01396500,0.01398000,0.01396000,0.01397700
1661978700000,0.01397700,0.01399400,0.01397100,0.01399400
1661979600000,0.01399400,0.01399500,0.01397400,0.01398300
1661980500000,0.01398400,0.01398700,0.01396600,0.01397000
1661981400000,0.01397100,0.01397600,0.01395300,0.01396000
1661982300000,0.01396000,0.01396200,0.01391700,0.01392200
1661983200000,0.01392200,0.01393800,0.01391600,0.01393100
1661984100000,0.01393100,0.01393100,0.01390600,0.01391200
1661985000000,0.01391100,0.01391800,0.01390400,0.01391300
1661985900000,0.01391200,0.01391300,0.01389600,0.01390500
1661986800000,0.01390500,0.01391200,0.01389100,0.01390300
1661987700000,0.01390400,0.01391300,0.01388800,0.01390800
1661988600000,0.01390800,0.01392400,0.01390400,0.01392200
1661989500000,0.01392300,0.01393600,0.01391000,0.01392600
1661990400000,0.01392600,0.01392800,0.01388600,0.01391600
1661991300000,0.01391500,0.01392900,0.01388900,0.01389500
1661992200000,0.01389500,0.01389500,0.01382400,0.01383200
1661993100000,0.01383200,0.01388100,0.01383100,0.01387900
1661994000000,0.01387800,0.01389400,0.01385300,0.01385400
