Date,Open,High,Low,Close
1661972400000,20051.86000000,20068.42000000,20051.86000000,20068.42000000
1661973300000,20215.11000000,20215.11000000,20215.11000000,20215.11000000
1661974200000,20133.15000000,20185.68000000,20133.15000000,20185.68000000
1661975100000,20220.93000000,20247.19000000,20220.93000000,20233.35000000
1661976000000,20182.08000000,20182.08000000,20182.08000000,20182.08000000
1661976900000,20222.16000000,20222.16000000,20222.16000000,20222.16000000
1661977800000,20192.81000000,20192.81000000,20192.81000000,20192.81000000
1661978700000,20202.48000000,20213.63000000,20200.00000000,20200.00000000
1661979600000,20200.00000000,20200.00000000,20200.00000000,20200.00000000
1661980500000,20200.00000000,20200.00000000,20200.00000000,20200.00000000
1661981400000,20200.00000000,20200.00000000,20200.00000000,20200.00000000
1661982300000,20192.17000000,20276.26000000,20192.17000000,20276.26000000
1661983200000,20259.73000000,20259.73000000,20195.79000000,20195.79000000
1661984100000,20134.78000000,20134.78000000,20134.78000000,20134.78000000
1661985000000,20134.78000000,20134.78000000,20134.78000000,20134.78000000
1661985900000,20139.61000000,20139.61000000,20139.61000000,20139.61000000
1661986800000,20099.56000000,20099.56000000,20099.56000000,20099.56000000
1661987700000,20063.62000000,20067.64000000,20022.72000000,20065.04000000
1661988600000,19982.12000000,19982.12000000,19982.12000000,19982.12000000
1661989500000,20037.47000000,20037.47000000,20017.22000000,20017.22000000
1661990400000,20017.22000000,20017.22000000,20017.22000000,20017.22000000
1661991300000,20017.22000000,20017.22000000,20017.22000000,20017.22000000
1661992200000,19372.82000000,19969.89000000,19050.00000000,19884.58000000
1661993100000,19884.58000000,19884.58000000,19884.58000000,19884.58000000
1661994000000,19884.58000000,19884.58000000,19884.58000000,19884.58000000
1661994900000,19884.58000000,19884.58000000,19884.58000000,19884.58000000
1661995800000,20145.52000000,20145.52000000,20145.52000000,20145.52000000
1661996700000,20145.52000000,20145.52000000,20145.52000000,20145.52000000
1661997600000,20145.52000000,20145.52000000,20145.52000000,20145.52000000
1661998500000,20145.52000000,20145.52000000,20145.52000000,20145.52000000
1661999400000,20145.52000000,20145.52000000,20145.52000000,20145.52000000
1662000300000,20145.52000000,20145.52000000,20145.52000000,20145.52000000
1662001200000,20137.54000000,20137.54000000,20137.54000000,20137.54000000
1662002100000,20137.54000000,20137.54000000,20137.54000000,20137.54000000
1662003000000,20071.12000000,20071.12000000,20071.11000000,20071.11000000
1662003900000,19992.05000000,19992.05000000,19965.08000000,19990.97000000
1662004800000,19990.97000000,19990.97000000,19990.97000000,19990.97000000
1662005700000,19993.55000000,19993.55000000,19993.55000000,19993.55000000
1662006600000,19993.55000000,19993.55000000,19993.55000000,19993.55000000
1662007500000,19993.55000000,19993.55000000,19993.55000000,19993.55000000
1662008400000,20047.51000000,20047.51000000,20047.51000000,20047.51000000
1662009300000,20047.51000000,20047.51000000,20047.51000000,20047.51000000
1662010200000,20102.44000000,20111.50000000,20102.44000000,20111.50000000
1662011100000,20111.50000000,20112.60000000,20111.50000000,20112.60000000
1662012000000,20018.26000000,20024.79000000,19985.89000000,20024.79000000
1662012900000,20024.79000000,20024.79000000,20024.79000000,20024.79000000
1662013800000,20009.83000000,20009.83000000,20009.83000000,20009.83000000
1662014700000,20004.66000000,20004.66000000,19978.54000000,19978.54000000
1662015600000,19957.08000000,19961.88000000,19917.73000000,19917.73000000
1662016500000,19918.75000000,19918.75000000,19916.41000000,19916.41000000
1662017400000,19844.64000000,19844.64000000,19347.53000000,19812.89000000
1662018300000,19917.25000000,19917.25000000,19917.25000000,19917.25000000
1662019200000,19917.25000000,19917.25000000,19917.25000000,19917.25000000
1662020100000,19937.07000000,19937.07000000,19937.07000000,19937.07000000
1662021000000,19836.10000000,19836.10000000,19809.81000000,19809.81000000
1662021900000,19809.81000000,19809.81000000,19809.81000000,19809.81000000
