Date,Open,High,Low,Close
1661960700000,20110.49000000,20163.82000000,20090.01000000,20140.63000000
1661961600000,20142.26000000,20218.98000000,20077.38000000,20104.59000000
1661962500000,20103.59000000,20152.99000000,20050.64000000,20074.91000000
1661963400000,20076.06000000,20137.56000000,20058.06000000,20068.31000000
1661964300000,20068.31000000,20096.97000000,20016.06000000,20040.39000000
1661965200000,20040.39000000,20144.79000000,20028.36000000,20116.64000000
1661966100000,20116.03000000,20135.80000000,20072.37000000,20090.26000000
1661967000000,20090.26000000,20091.68000000,19889.00000000,19935.64000000
1661967900000,19935.64000000,20015.36000000,19881.22000000,19982.31000000
1661968800000,19982.31000000,20047.58000000,19961.22000000,20015.85000000
1661969700000,20015.85000000,20042.07000000,19979.82000000,20017.65000000
1661970600000,20017.65000000,20017.70000000,19939.53000000,19954.26000000
1661971500000,19954.26000000,20008.24000000,19945.82000000,20002.41000000
1661972400000,20001.18000000,20188.40000000,19987.72000000,20182.06000000
1661973300000,20182.06000000,20256.08000000,20140.68000000,20150.71000000
1661974200000,20149.37000000,20250.68000000,20126.21000000,20242.46000000
1661975100000,20242.46000000,20328.46000000,20209.65000000,20228.57000000
1661976000000,20228.57000000,20243.97000000,20177.30000000,20189.48000000
1661976900000,20190.67000000,20231.03000000,20180.83000000,20223.79000000
1661977800000,20223.79000000,20231.22000000,20161.47000000,20177.96000000
1661978700000,20177.96000000,20220.54000000,20168.49000000,20195.10000000
1661979600000,20193.43000000,20253.04000000,20175.69000000,20233.29000000
1661980500000,20233.99000000,20247.49000000,20195.63000000,20235.63000000
1661981400000,20235.63000000,20236.17000000,20180.02000000,20195.43000000
1661982300000,20195.43000000,20299.97000000,20160.00000000,20280.54000000
1661983200000,20280.54000000,20292.75000000,20135.92000000,20154.27000000
1661984100000,20155.43000000,20172.57000000,20095.84000000,20115.62000000
1661985000000,20114.57000000,20131.22000000,20085.70000000,20115.17000000
1661985900000,20115.86000000,20170.50000000,20106.18000000,20155.00000000
1661986800000,20155.00000000,20157.53000000,20038.13000000,20048.97000000
1661987700000,20049.78000000,20067.70000000,20003.40000000,20011.46000000
1661988600000,20011.46000000,20016.63000000,19966.00000000,20005.37000000
1661989500000,20005.37000000,20060.00000000,20001.92000000,20050.02000000
1661990400000,20048.44000000,20138.15000000,20004.06000000,20107.74000000
1661991300000,20108.77000000,20135.89000000,20058.71000000,20097.72000000
1661992200000,20097.72000000,20124.35000000,19917.06000000,19925.24000000
1661993100000,19925.24000000,20089.61000000,19917.01000000,20064.43000000
1661994000000,20064.43000000,20133.00000000,20051.22000000,20067.70000000
1661994900000,20066.90000000,20147.45000000,20065.82000000,20115.24000000
1661995800000,20116.28000000,20185.09000000,20095.45000000,20149.01000000
1661996700000,20149.80000000,20161.68000000,20110.93000000,20127.45000000
1661997600000,20127.45000000,20201.50000000,20121.97000000,20177.68000000
1661998500000,20177.99000000,20208.37000000,20162.26000000,20189.01000000
1661999400000,20188.05000000,20199.61000000,20118.35000000,20130.34000000
1662000300000,20130.34000000,20132.25000000,20069.35000000,20118.09000000
1662001200000,20119.43000000,20181.22000000,20108.51000000,20133.96000000
1662002100000,20132.77000000,20171.99000000,20119.13000000,20138.78000000
1662003000000,20138.78000000,20141.77000000,20031.10000000,20045.35000000
1662003900000,20045.35000000,20078.58000000,19931.00000000,20022.97000000
1662004800000,20023.82000000,20070.45000000,19993.74000000,20006.08000000
1662005700000,20006.08000000,20066.00000000,19991.45000000,20045.16000000
1662006600000,20046.21000000,20082.00000000,20044.15000000,20060.18000000
