Date,Open,High,Low,Close
1661972400000,0.00002623,0.00002630,0.00002600,0.00002630
1661973300000,0.00002618,0.00002619,0.00002618,0.00002618
1661974200000,0.00002622,0.00002632,0.00002616,0.00002632
1661975100000,0.00002632,0.00002632,0.00002617,0.00002617
1661976000000,0.00002614,0.00002614,0.00002601,0.00002601
1661976900000,0.00002618,0.00002622,0.00002614,0.00002622
1661977800000,0.00002622,0.00002623,0.00002622,0.00002623
1661978700000,0.00002623,0.00002623,0.00002623,0.00002623
1661979600000,0.00002615,0.00002615,0.00002615,0.00002615
1661980500000,0.00002615,0.00002615,0.00002608,0.00002608
1661981400000,0.00002631,0.00002631,0.00002631,0.00002631
1661982300000,0.00002631,0.00002646,0.00002631,0.00002646
1661983200000,0.00002634,0.00002640,0.00002633,0.00002640
1661984100000,0.00002651,0.00002655,0.00002634,0.00002634
1661985000000,0.00002626,0.00002635,0.00002626,0.00002628
1661985900000,0.00002626,0.00002626,0.00002626,0.00002626
1661986800000,0.00002623,0.00002623,0.00002623,0.00002623
1661987700000,0.00002624,0.00002624,0.00002624,0.00002624
1661988600000,0.00002622,0.00002632,0.00002619,0.00002626
1661989500000,0.00002624,0.00002624,0.00002624,0.00002624
1661990400000,0.00002631,0.00002636,0.00002631,0.00002636
1661991300000,0.00002642,0.00002642,0.00002639,0.00002639
1661992200000,0.00002632,0.00002634,0.00002622,0.00002622
1661993100000,0.00002622,0.00002622,0.00002615,0.00002615
1661994000000,0.00002615,0.00002615,0.00002609,0.00002609
1661994900000,0.00002609,0.00002609,0.00002609,0.00002609
1661995800000,0.00002605,0.00002605,0.00002605,0.00002605
1661996700000,0.00002605,0.00002605,0.00002605,0.00002605
1661997600000,0.00002605,0.00002619,0.00002605,0.00002619
1661998500000,0.00002621,0.00002621,0.00002621,0.00002621
1661999400000,0.00002617,0.00002617,0.00002617,0.00002617
1662000300000,0.00002610,0.00002610,0.00002602,0.00002609
1662001200000,0.00002604,0.00002604,0.00002593,0.00002593
1662002100000,0.00002593,0.00002593,0.00002593,0.00002593
1662003000000,0.00002593,0.00002593,0.00002593,0.00002593
1662003900000,0.00002596,0.00002610,0.00002596,0.00002610
1662004800000,0.00002600,0.00002609,0.00002600,0.00002600
1662005700000,0.00002600,0.00002600,0.00002600,0.00002600
1662006600000,0.00002600,0.00002600,0.00002600,0.00002600
1662007500000,0.00002600,0.00002600,0.00002600,0.00002600
1662008400000,0.00002612,0.00002612,0.00002598,0.00002598
1662009300000,0.00002604,0.00002604,0.00002598,0.00002599
1662010200000,0.00002599,0.00002599,0.00002599,0.00002599
1662011100000,0.00002605,0.00002605,0.00002591,0.00002591
1662012000000,0.00002604,0.00002611,0.00002604,0.00002604
