Date,Open,High,Low,Close
1661972400000,0.00001369,0.00001369,0.00001366,0.00001366
1661973300000,0.00001366,0.00001369,0.00001366,0.00001369
1661974200000,0.00001367,0.00001367,0.00001365,0.00001365
1661975100000,0.00001365,0.00001367,0.00001364,0.00001364
1661976000000,0.00001364,0.00001365,0.00001363,0.00001363
1661976900000,0.00001362,0.00001362,0.00001361,0.00001362
1661977800000,0.00001363,0.00001363,0.00001363,0.00001363
1661978700000,0.00001363,0.00001363,0.00001363,0.00001363
1661979600000,0.00001362,0.00001364,0.00001362,0.00001364
1661980500000,0.00001365,0.00001366,0.00001365,0.00001366
1661981400000,0.00001365,0.00001367,0.00001365,0.00001366
1661982300000,0.00001365,0.00001365,0.00001365,0.00001365
1661983200000,0.00001364,0.00001367,0.00001364,0.00001367
1661984100000,0.00001366,0.00001366,0.00001362,0.00001362
1661985000000,0.00001364,0.00001367,0.00001361,0.00001363
1661985900000,0.00001364,0.00001364,0.00001364,0.00001364
1661986800000,0.00001363,0.00001363,0.00001361,0.00001361
1661987700000,0.00001361,0.00001364,0.00001357,0.00001363
1661988600000,0.00001362,0.00001362,0.00001357,0.00001358
1661989500000,0.00001358,0.00001362,0.00001357,0.00001357
1661990400000,0.00001358,0.00001365,0.00001358,0.00001365
1661991300000,0.00001363,0.00001366,0.00001363,0.00001366
1661992200000,0.00001364,0.00001364,0.00001353,0.00001354
1661993100000,0.00001353,0.00001353,0.00001345,0.00001352
1661994000000,0.00001351,0.00001351,0.00001347,0.00001349
1661994900000,0.00001350,0.00001358,0.00001350,0.00001354
1661995800000,0.00001355,0.00001357,0.00001355,0.00001357
1661996700000,0.00001357,0.00001357,0.00001356,0.00001356
1661997600000,0.00001357,0.00001358,0.00001357,0.00001357
1661998500000,0.00001357,0.00001357,0.00001357,0.00001357
1661999400000,0.00001356,0.00001356,0.00001353,0.00001353
1662000300000,0.00001354,0.00001355,0.00001347,0.00001350
1662001200000,0.00001349,0.00001349,0.00001347,0.00001348
1662002100000,0.00001349,0.00001350,0.00001343,0.00001345
1662003000000,0.00001346,0.00001347,0.00001345,0.00001345
1662003900000,0.00001346,0.00001346,0.00001344,0.00001344
1662004800000,0.00001343,0.00001348,0.00001342,0.00001347
1662005700000,0.00001346,0.00001347,0.00001341,0.00001346
1662006600000,0.00001346,0.00001349,0.00001345,0.00001345
1662007500000,0.00001346,0.00001346,0.00001346,0.00001346
1662008400000,0.00001345,0.00001350,0.00001344,0.00001348
1662009300000,0.00001347,0.00001347,0.00001346,0.00001346
1662010200000,0.00001347,0.00001349,0.00001347,0.00001348
1662011100000,0.00001347,0.00001347,0.00001346,0.00001346
1662012000000,0.00001345,0.00001345,0.00001344,0.00001345
1662012900000,0.00001344,0.00001346,0.00001343,0.00001343
1662013800000,0.00001343,0.00001343,0.00001341,0.00001341
1662014700000,0.00001343,0.00001343,0.00001337,0.00001339
1662015600000,0.00001338,0.00001341,0.00001334,0.00001334
1662016500000,0.00001333,0.00001334,0.00001333,0.00001334
1662017400000,0.00001334,0.00001338,0.00001334,0.00001335
1662018300000,0.00001336,0.00001338,0.00001335,0.00001337
1662019200000,0.00001336,0.00001337,0.00001336,0.00001337
1662020100000,0.00001338,0.00001340,0.00001336,0.00001340
1662021000000,0.00001339,0.00001339,0.00001338,0.00001338
1662021900000,0.00001338,0.00001338,0.00001338,0.00001338
1662022800000,0.00001339,0.00001345,0.00001339,0.00001345
1662023700000,0.00001346,0.00001347,0.00001344,0.00001345
1662024600000,0.00001343,0.00001343,0.00001339,0.00001343
1662025500000,0.00001344,0.00001347,0.00001344,0.00001347
1662026400000,0.00001345,0.00001346,0.00001345,0.00001346
1662027300000,0.00001345,0.00001347,0.00001345,0.00001347
1662028200000,0.00001348,0.00001348,0.00001340,0.00001345
1662029100000,0.00001345,0.00001345,0.00001345,0.00001345
1662030000000,0.00001345,0.00001346,0.00001345,0.00001346
1662030900000,0.00001345,0.00001346,0.00001344,0.00001345
1662031800000,0.00001345,0.00001347,0.00001344,0.00001345
1662032700000,0.00001344,0.00001346,0.00001342,0.00001346
1662033600000,0.00001345,0.00001347,0.00001345,0.00001347
1662034500000,0.00001347,0.00001347,0.00001347,0.00001347
1662035400000,0.00001346,0.00001348,0.00001344,0.00001345
1662036300000,0.00001344,0.00001344,0.00001343,0.00001344
1662037200000,0.00001343,0.00001344,0.00001342,0.00001342
1662038100000,0.00001342,0.00001342,0.00001342,0.00001342
1662039000000,0.00001341,0.00001343,0.00001340,0.00001343
1662039900000,0.00001342,0.00001342,0.00001342,0.00001342
1662040800000,0.00001343,0.00001343,0.00001333,0.00001333
1662041700000,0.00001332,0.00001332,0.00001329,0.00001332
1662042600000,0.00001333,0.00001334,0.00001333,0.00001333
1662043500000,0.00001332,0.00001337,0.00001330,0.00001337
1662044400000,0.00001336,0.00001340,0.00001334,0.00001340
1662045300000,0.00001341,0.00001346,0.00001338,0.00001340
1662046200000,0.00001341,0.00001342,0.00001341,0.00001341
1662047100000,0.00001341,0.00001341,0.00001338,0.00001338
1662048000000,0.00001338,0.00001338,0.00001337,0.00001338
1662048900000,0.00001337,0.00001344,0.00001337,0.00001342
1662049800000,0.00001342,0.00001345,0.00001339,0.00001343
1662050700000,0.00001344,0.00001347,0.00001341,0.00001347
1662051600000,0.00001346,0.00001347,0.00001344,0.00001347
1662052500000,0.00001347,0.00001350,0.00001346,0.00001348
1662053400000,0.00001347,0.00001347,0.00001345,0.00001347
1662054300000,0.00001347,0.00001347,0.00001346,0.00001346
1662055200000,0.00001345,0.00001346,0.00001342,0.00001343
1662056100000,0.00001343,0.00001343,0.00001341,0.00001342
1662057000000,0.00001342,0.00001342,0.00001339,0.00001342
1662057900000,0.00001341,0.00001345,0.00001341,0.00001342
