Date,Open,High,Low,Close
1661972400000,0.00030410,0.00030450,0.00030090,0.00030180
1661973300000,0.00030090,0.00030120,0.00029870,0.00030120
1661974200000,0.00029980,0.00029980,0.00029870,0.00029870
1661975100000,0.00029870,0.00029980,0.00029870,0.00029980
1661976000000,0.00030040,0.00030040,0.00030020,0.00030020
1661976900000,0.00030140,0.00030140,0.00030140,0.00030140
1661977800000,0.00030140,0.00030140,0.00030140,0.00030140
1661978700000,0.00030050,0.00030050,0.00029890,0.00029980
1661979600000,0.00030000,0.00030010,0.00029990,0.00030010
1661980500000,0.00030010,0.00030010,0.00030010,0.00030010
1661981400000,0.00030010,0.00030010,0.00030010,0.00030010
1661982300000,0.00030130,0.00030130,0.00030130,0.00030130
1661983200000,0.00030000,0.00030140,0.00029940,0.00030140
1661984100000,0.00030140,0.00030160,0.00030030,0.00030030
1661985000000,0.00030210,0.00030650,0.00030210,0.00030240
1661985900000,0.00030440,0.00030640,0.00030430,0.00030640
1661986800000,0.00030510,0.00030630,0.00030380,0.00030380
1661987700000,0.00030300,0.00030300,0.00030280,0.00030280
1661988600000,0.00030280,0.00030280,0.00030150,0.00030150
1661989500000,0.00030080,0.00030080,0.00030080,0.00030080
1661990400000,0.00030100,0.00030350,0.00030080,0.00030220
1661991300000,0.00030340,0.00030660,0.00030300,0.00030300
1661992200000,0.00030250,0.00030250,0.00030130,0.00030130
1661993100000,0.00030320,0.00030320,0.00030320,0.00030320
1661994000000,0.00030080,0.00030080,0.00029860,0.00030040
1661994900000,0.00030200,0.00030330,0.00030100,0.00030200
1661995800000,0.00030360,0.00030750,0.00030360,0.00030700
1661996700000,0.00030790,0.00031250,0.00030620,0.00031250
1661997600000,0.00031020,0.00031700,0.00030870,0.00030870
1661998500000,0.00030930,0.00030930,0.00030520,0.00030520
1661999400000,0.00030520,0.00030520,0.00030520,0.00030520
1662000300000,0.00030500,0.00030500,0.00030390,0.00030390
1662001200000,0.00030390,0.00030750,0.00030280,0.00030470
1662002100000,0.00030370,0.00030370,0.00030150,0.00030240
1662003000000,0.00030120,0.00030230,0.00030010,0.00030230
1662003900000,0.00030230,0.00030310,0.00030230,0.00030290
1662004800000,0.00030310,0.00030850,0.00030310,0.00030770
1662005700000,0.00030630,0.00031740,0.00030630,0.00031570
1662006600000,0.00031420,0.00031470,0.00031140,0.00031380
1662007500000,0.00031380,0.00031660,0.00031380,0.00031660
1662008400000,0.00031750,0.00032450,0.00031740,0.00032150
1662009300000,0.00032130,0.00032830,0.00031930,0.00032220
1662010200000,0.00032320,0.00032610,0.00031760,0.00032060
1662011100000,0.00032210,0.00032280,0.00031500,0.00031500
1662012000000,0.00031430,0.00031810,0.00031060,0.00031130
1662012900000,0.00031260,0.00031310,0.00031100,0.00031310
