Date,Open,High,Low,Close
1661972400000,0.00748200,0.00748300,0.00746300,0.00746400
1661973300000,0.00746200,0.00748500,0.00744900,0.00745100
1661974200000,0.00745300,0.00747500,0.00743600,0.00745400
1661975100000,0.00745500,0.00747200,0.00744600,0.00745300
1661976000000,0.00744900,0.00747800,0.00743500,0.00743500
1661976900000,0.00743400,0.00744600,0.00742000,0.00743500
1661977800000,0.00743400,0.00744500,0.00742800,0.00743600
1661978700000,0.00743600,0.00744300,0.00741800,0.00742900
1661979600000,0.00743400,0.00744000,0.00742300,0.00743100
1661980500000,0.00743300,0.00744900,0.00743200,0.00743200
1661981400000,0.00743400,0.00744900,0.00743100,0.00743800
1661982300000,0.00744800,0.00744800,0.00741300,0.00741500
1661983200000,0.00742100,0.00744500,0.00741100,0.00743400
1661984100000,0.00744100,0.00744500,0.00741200,0.00742800
1661985000000,0.00742200,0.00744400,0.00741200,0.00742000
1661985900000,0.00741500,0.00742300,0.00740600,0.00740600
1661986800000,0.00740500,0.00741700,0.00739900,0.00741200
1661987700000,0.00741300,0.00743700,0.00740900,0.00742700
1661988600000,0.00742700,0.00744100,0.00741800,0.00743800
1661989500000,0.00743400,0.00743900,0.00743100,0.00743700
1661990400000,0.00744300,0.00745000,0.00741000,0.00742800
1661991300000,0.00743000,0.00746400,0.00742700,0.00745500
1661992200000,0.00745400,0.00746800,0.00743500,0.00745000
1661993100000,0.00744800,0.00745700,0.00742200,0.00744800
1661994000000,0.00744400,0.00747400,0.00744000,0.00746700
1661994900000,0.00746700,0.00752900,0.00746100,0.00750300
1661995800000,0.00750300,0.00751100,0.00749000,0.00750600
1661996700000,0.00750900,0.00753300,0.00750800,0.00751300
1661997600000,0.00751200,0.00753900,0.00751200,0.00752800
1661998500000,0.00752900,0.00753300,0.00751400,0.00751500
1661999400000,0.00751600,0.00753500,0.00749200,0.00749500
1662000300000,0.00749200,0.00749600,0.00748100,0.00749300
1662001200000,0.00749400,0.00752400,0.00748100,0.00748900
1662002100000,0.00748600,0.00750800,0.00748600,0.00748600
1662003000000,0.00749000,0.00753000,0.00748800,0.00751600
1662003900000,0.00751700,0.00753600,0.00750000,0.00752900
1662004800000,0.00753000,0.00757500,0.00752200,0.00756000
1662005700000,0.00756100,0.00757500,0.00755000,0.00755700
1662006600000,0.00755400,0.00757500,0.00755400,0.00756700
1662007500000,0.00756800,0.00759100,0.00756800,0.00757500
1662008400000,0.00758000,0.00758600,0.00757700,0.00758100
1662009300000,0.00758000,0.00761000,0.00756700,0.00760300
1662010200000,0.00760600,0.00761300,0.00760200,0.00760700
1662011100000,0.00760800,0.00761300,0.00759800,0.00760000
1662012000000,0.00760000,0.00761700,0.00759200,0.00761400
1662012900000,0.00761100,0.00762900,0.00761000,0.00762300
1662013800000,0.00762300,0.00762400,0.00760400,0.00762400
1662014700000,0.00762300,0.00763200,0.00761800,0.00763100
1662015600000,0.00763000,0.00763000,0.00758900,0.00759400
1662016500000,0.00758800,0.00760700,0.00757800,0.00760600
