Date,Open,High,Low,Close
1661972400000,0.00001632,0.00001632,0.00001624,0.00001625
1661973300000,0.00001625,0.00001635,0.00001625,0.00001634
1661974200000,0.00001634,0.00001634,0.00001629,0.00001630
1661975100000,0.00001631,0.00001631,0.00001625,0.00001629
1661976000000,0.00001629,0.00001632,0.00001627,0.00001630
1661976900000,0.00001631,0.00001636,0.00001630,0.00001635
1661977800000,0.00001636,0.00001639,0.00001633,0.00001639
1661978700000,0.00001638,0.00001638,0.00001634,0.00001638
1661979600000,0.00001638,0.00001639,0.00001635,0.00001636
1661980500000,0.00001637,0.00001638,0.00001632,0.00001632
1661981400000,0.00001633,0.00001637,0.00001632,0.00001635
1661982300000,0.00001635,0.00001638,0.00001632,0.00001632
1661983200000,0.00001632,0.00001637,0.00001632,0.00001634
1661984100000,0.00001636,0.00001638,0.00001634,0.00001636
1661985000000,0.00001636,0.00001638,0.00001631,0.00001632
1661985900000,0.00001632,0.00001638,0.00001632,0.00001635
1661986800000,0.00001636,0.00001639,0.00001635,0.00001639
1661987700000,0.00001638,0.00001638,0.00001632,0.00001634
1661988600000,0.00001635,0.00001635,0.00001631,0.00001634
1661989500000,0.00001633,0.00001636,0.00001632,0.00001634
1661990400000,0.00001634,0.00001637,0.00001632,0.00001634
1661991300000,0.00001634,0.00001637,0.00001632,0.00001636
1661992200000,0.00001637,0.00001638,0.00001633,0.00001638
1661993100000,0.00001639,0.00001639,0.00001631,0.00001635
1661994000000,0.00001634,0.00001634,0.00001627,0.00001628
1661994900000,0.00001627,0.00001628,0.00001620,0.00001620
1661995800000,0.00001620,0.00001623,0.00001619,0.00001623
1661996700000,0.00001622,0.00001626,0.00001620,0.00001623
1661997600000,0.00001623,0.00001623,0.00001614,0.00001616
1661998500000,0.00001617,0.00001617,0.00001613,0.00001614
1661999400000,0.00001614,0.00001617,0.00001613,0.00001613
1662000300000,0.00001613,0.00001615,0.00001612,0.00001614
1662001200000,0.00001614,0.00001616,0.00001612,0.00001614
1662002100000,0.00001613,0.00001614,0.00001610,0.00001610
1662003000000,0.00001610,0.00001616,0.00001609,0.00001615
1662003900000,0.00001614,0.00001618,0.00001613,0.00001617
1662004800000,0.00001617,0.00001622,0.00001616,0.00001621
1662005700000,0.00001620,0.00001622,0.00001619,0.00001622
1662006600000,0.00001621,0.00001624,0.00001620,0.00001623
1662007500000,0.00001623,0.00001625,0.00001621,0.00001623
1662008400000,0.00001624,0.00001629,0.00001623,0.00001626
1662009300000,0.00001626,0.00001627,0.00001623,0.00001625
1662010200000,0.00001626,0.00001628,0.00001625,0.00001627
1662011100000,0.00001627,0.00001629,0.00001626,0.00001629
1662012000000,0.00001630,0.00001632,0.00001627,0.00001627
1662012900000,0.00001628,0.00001629,0.00001626,0.00001626
1662013800000,0.00001625,0.00001631,0.00001625,0.00001630
1662014700000,0.00001630,0.00001634,0.00001630,0.00001633
1662015600000,0.00001633,0.00001636,0.00001632,0.00001633
1662016500000,0.00001633,0.00001637,0.00001631,0.00001637
1662017400000,0.00001636,0.00001640,0.00001635,0.00001636
1662018300000,0.00001636,0.00001640,0.00001631,0.00001638
1662019200000,0.00001638,0.00001639,0.00001633,0.00001633
1662020100000,0.00001634,0.00001635,0.00001631,0.00001634
1662021000000,0.00001634,0.00001637,0.00001634,0.00001637
1662021900000,0.00001636,0.00001641,0.00001636,0.00001638
1662022800000,0.00001638,0.00001643,0.00001637,0.00001638
1662023700000,0.00001638,0.00001638,0.00001630,0.00001630
1662024600000,0.00001630,0.00001631,0.00001627,0.00001629
1662025500000,0.00001629,0.00001630,0.00001627,0.00001630
1662026400000,0.00001631,0.00001632,0.00001629,0.00001630
1662027300000,0.00001632,0.00001633,0.00001629,0.00001631
1662028200000,0.00001630,0.00001631,0.00001623,0.00001625
1662029100000,0.00001625,0.00001626,0.00001623,0.00001625
1662030000000,0.00001624,0.00001629,0.00001623,0.00001628
1662030900000,0.00001628,0.00001631,0.00001627,0.00001630
1662031800000,0.00001631,0.00001631,0.00001626,0.00001628
1662032700000,0.00001627,0.00001629,0.00001626,0.00001628
1662033600000,0.00001628,0.00001631,0.00001627,0.00001631
1662034500000,0.00001630,0.00001632,0.00001629,0.00001632
1662035400000,0.00001632,0.00001632,0.00001629,0.00001629
1662036300000,0.00001630,0.00001630,0.00001623,0.00001629
1662037200000,0.00001628,0.00001632,0.00001626,0.00001632
1662038100000,0.00001631,0.00001632,0.00001630,0.00001631
1662039000000,0.00001631,0.00001633,0.00001630,0.00001630
1662039900000,0.00001631,0.00001633,0.00001630,0.00001630
1662040800000,0.00001631,0.00001635,0.00001627,0.00001627
1662041700000,0.00001628,0.00001630,0.00001624,0.00001630
1662042600000,0.00001630,0.00001633,0.00001629,0.00001631
1662043500000,0.00001631,0.00001639,0.00001629,0.00001637
1662044400000,0.00001638,0.00001638,0.00001629,0.00001632
1662045300000,0.00001633,0.00001634,0.00001631,0.00001632
1662046200000,0.00001631,0.00001635,0.00001630,0.00001634
1662047100000,0.00001633,0.00001634,0.00001632,0.00001634
1662048000000,0.00001634,0.00001637,0.00001632,0.00001637
1662048900000,0.00001636,0.00001644,0.00001635,0.00001643
1662049800000,0.00001642,0.00001647,0.00001641,0.00001644
1662050700000,0.00001644,0.00001649,0.00001644,0.00001646
1662051600000,0.00001645,0.00001647,0.00001641,0.00001642
1662052500000,0.00001642,0.00001642,0.00001634,0.00001635
1662053400000,0.00001636,0.00001644,0.00001633,0.00001643
1662054300000,0.00001644,0.00001647,0.00001642,0.00001645
1662055200000,0.00001646,0.00001648,0.00001645,0.00001645
1662056100000,0.00001644,0.00001647,0.00001642,0.00001643
1662057000000,0.00001644,0.00001647,0.00001640,0.00001647
1662057900000,0.00001647,0.00001652,0.00001647,0.00001652
